词频排名,单词,阶段,周区间,说明,音标,中文释义,例句
3119,specialist,P3,W21–W30,,ˈspɛʃələst,n. 专家；专科医生；美国陆军专业人员（高于一等兵低于下士的军衔）；adj. 专业的；专门的；专家的,My doctor referred me to a specialist.　我的医生让我去找一位专家诊治。
3120,cook,P3,W21–W30,,ˈkʊk,做饭,I cook at home.　我在家做饭。
3121,affect,P3,W21–W30,,əˈfɛkt,v. 影响；（疾病）侵袭，感染；（在感情上）深深打动，震撼；<正式> 假装，佯装；n. （尤指影响行为或行动的）情感，感情,How will these changes affect us?　这些变化对我们会有什么影响？
3122,virgin,P3,W21–W30,,ˈvɝdʒɪn,维尔京群岛；n. 圣母玛利亚；处女座,I was a virgin until I was thirty years old.　我到30岁时还是个处女。
3123,experienced,P3,W21–W30,,ɪkˈspɪriənst,adj. 熟练的，有经验的；v. 经历，遭遇；体会到，感受到（experience 的过去式和过去分词形式）,She's an experienced rider.　她是位有经验的骑手。
3124,investigation,P3,W21–W30,,ˌɪnˌvɛstəˈɡeɪʃən,n. 调查，审查；科学研究，学术研究,She is still under investigation.　她仍在接受调查。
3125,raised,P3,W21–W30,释义待核实，不进入核心练习,ˈreɪzd,释义待核实，不计入核心练习,
3126,hat,P3,W21–W30,,ˈhæt,n. （常指带檐的）帽子；（双重的）职位，角色；v. 给……戴上帽子；供应帽子，制造帽子,She pulled her hat straight.　她把帽子拉正了。
3127,institution,P3,W21–W30,,ˌɪnstɪˈtuʃən,n. 机构，团体；社会收容机构；制度，习俗；建立，制定；知名的人（或事物）,I believe in the institution of marriage.　我相信婚姻制度。
3128,directed,P3,W21–W30,释义待核实，不进入核心练习,dɚˈɛktəd,释义待核实，不计入核心练习,
3129,dealers,P3,W21–W30,释义待核实，不进入核心练习,ˈdilɚz,释义待核实，不计入核心练习,
3130,searching,P3,W21–W30,释义待核实，不进入核心练习,ˈsɝtʃɪŋ,释义待核实，不计入核心练习,
3131,sporting,P3,W21–W30,,ˈspɔrtɪŋ,v. 故意显示；嬉戏，玩耍（sport 的现在分词）；adj. 体育运动的；有良好体育风尚的；好赌的；愿意冒险的,His main sporting interests are golf and tennis.　他在体育方面主要爱好高尔夫球和网球。
3132,helping,P3,W21–W30,释义待核实，不进入核心练习,ˈhɛlpɪŋ,释义待核实，不计入核心练习,
3133,perl,P3,W21–W30,释义待核实，不进入核心练习,ˈpɝl,释义待核实，不计入核心练习,
3134,affected,P3,W21–W30,释义待核实，不进入核心练习,əˈfɛktɪd,释义待核实，不计入核心练习,
3135,lib,P3,W21–W30,释义待核实，不进入核心练习,ˈlɪb,释义待核实，不计入核心练习,
3136,bike,P3,W21–W30,,ˈbaɪk,n. 自行车，脚踏车，单车；摩托车；v. <非正式>骑自行车（单车）；<英> 用自行车（或摩托车）投递（信件，包裹）；<英>用自行车（或摩托车）投递（信件，包裹）；n. （Bike)（土、土库、塞）比克,The bike is rusty but usable.　自行车生锈了，但还能骑。
3137,totally,P3,W21–W30,,ˈtoʊtəli,adv. 完全地，整个地；对极了，太对了,He felt totally chilled.　他感觉完全放松了下来。
3138,plate,P3,W21–W30,,ˈpleɪt,n. 盘，碟；一盘（食物）；<美>一道主菜；奉献盘，捐款盘；金属护板（片）；金属牌；（车辆的）号码牌；镀金（或镀银）金属；金/银餐具；盾片，鳞甲；（地质）板块；（书中的）插图；印版；感光板；假牙托；牙箍；<非正式>全口假牙；（棒球）本垒板；（银质或金质）奖杯；杯赛；横木；（生物）培养皿；载物片，玻璃片；极板；<美>阳极；v. 给……镀（金属）；给……加上装甲；用鳞片覆盖；摆盘；（棒球）跑垒得分；（生物）制作显微片；【名】 （Plate）（英、德、俄、西、意、瑞典）普拉特（人名）,She heaped food on my plate.　她往我的盘子里夹了很多食物。
3139,expenses,P3,W21–W30,释义待核实，不进入核心练习,ɪkˈspɛnsəz,释义待核实，不计入核心练习,
3140,indicate,P3,W21–W30,,ˈɪndəˌkeɪt,v. 表明，象征，暗示；v. 表明，标示；象征，暗示；间接提及，示意；指示，指出；<英>（用灯光或手臂）打行车转向信号；有必要，被建议,Road markings indicate where you can stop.　道路标志告诉你哪里可以停车。
3141,blonde,P3,W21–W30,,ˈblɑnd,adj. 金黄色的，浅棕色的；金发的；浅色的；n. 长着金发的人,I sounded like a ditzy blonde!　我听上去像个没头脑的金发女人！
3142,ab,P3,W21–W30,释义待核实，不进入核心练习,ˈæb,释义待核实，不计入核心练习,
3143,proceedings,P3,W21–W30,释义待核实，不进入核心练习,proʊˈsidɪŋz,释义待核实，不计入核心练习,
3144,favourite,P3,W21–W30,,ˈfeɪvɚɪt,adj. 特别受喜爱的；n. 特别喜爱的人（或事物）；最有希望获胜者；收藏夹，书签；v. 把……添加到收藏夹,What's your favourite colour?　你最喜欢的颜色是什么？
3145,transmission,P3,W21–W30,,trænˈsmɪʃən,n. （无线电、电视等信号的）播送，发送；（电台或电视等的）信息，广播；传递，传播，传染；（车辆的）传动装置，变速器,The letter was delayed in transmission.　这封信在传递中被耽误了。
3146,anderson,P3,W21–W30,释义待核实，不进入核心练习,ˈændɚsən,释义待核实，不计入核心练习,
3147,utc,P3,W21–W30,释义待核实，不进入核心练习,,释义待核实，不计入核心练习,
3148,characteristics,P3,W21–W30,释义待核实，不进入核心练习,ˌkɛrəktɚˈɪstɪks,释义待核实，不计入核心练习,
3149,der,P3,W21–W30,释义待核实，不进入核心练习,ˈdɝ,释义待核实，不计入核心练习,
3150,lose,P3,W21–W30,,ˈluz,v. 遗失，丢失；失去（某一特性、特点、态度或信念）；被剥夺，被损坏；失去（亲人或朋友等）；输掉（比赛、战斗、争论等）；降低，减少；摆脱，甩掉（追赶者）；使不明白，使迷惑；去掉，拿掉；亏（本），赔（钱）；浪费，错过；（钟、表）走慢；【名】 （Lose）（英）洛斯，（德）洛泽（人名）,No one likes to lose.　没人愿意失败。
3151,organic,P3,W21–W30,,ɔrˈɡænɪk,adj. 有机的，绿色的；有机物的，生物的；构成有机整体的，不可分割的；（发生、发展过程）自然的，演进的；器官的，器质性的；仿自然形态的；n. 有机物质；有机食品,I've converted to organic food.　我改吃有机食物了。
3152,seek,P3,W21–W30,,ˈsik,v. 寻找；寻求，谋求；请求（帮助），征求（意见）；试图，设法；找出，找到（seek sb./sth. out）；自然地向……移动；<古>去，前往（某地）,We were advised to seek legal advice.　有人劝我们找律师咨询。
3153,experiences,P3,W21–W30,释义待核实，不进入核心练习,ɪkˈspɪriənsɪz,释义待核实，不计入核心练习,
3154,albums,P3,W21–W30,释义待核实，不进入核心练习,ˈælbəmz,释义待核实，不计入核心练习,
3155,cheats,P3,W21–W30,释义待核实，不进入核心练习,ˈtʃits,释义待核实，不计入核心练习,
3156,extremely,P3,W21–W30,,ɛkˈstrimli,adv. 极度，非常,This species is extremely rare.　这一物种极为罕见。
3157,verzeichnis,P3,W21–W30,释义待核实，不进入核心练习,,释义待核实，不计入核心练习,
3158,contracts,P3,W21–W30,释义待核实，不进入核心练习,ˈkɑnˌtrækts,释义待核实，不计入核心练习,
3159,guests,P3,W21–W30,释义待核实，不进入核心练习,ˈɡɛsts,释义待核实，不计入核心练习,
3160,hosted,P3,W21–W30,释义待核实，不进入核心练习,ˈhoʊstɪd,释义待核实，不计入核心练习,
3161,diseases,P3,W21–W30,释义待核实，不进入核心练习,dɪˈzizəz,释义待核实，不计入核心练习,
3162,concerning,P3,W21–W30,,kənˈsɝnɪŋ,prep. 关于，涉及；adj. 让人不安的，令人担忧的；v. 有关，关于；影响；使担心（concern 的现在分词形式）,He asked several questions concerning the future of the company.　他问了几个有关公司前途的问题。
3163,developers,P3,W21–W30,释义待核实，不进入核心练习,dɪˈvɛləpɚz,释义待核实，不计入核心练习,
3164,equivalent,P3,W21–W30,,ɪˈkwɪvələnt,adj. 等同的，等效的；n. 对等的人（或事物），对应的人（或事物）；当量（equivalent weight）,Zip disks could be used to store the equivalent of three music CDs.　压缩盘能用以存储相当于3张音乐CD容量的内容。
3165,chemistry,P3,W21–W30,,ˈkɛməstri,化学；n. 化学；化学成分，化学反应；（彼此间的）吸引,I'm hoping to do a chemistry degree.　我希望攻读化学学位课程。
3166,tony,P3,W21–W30,释义待核实，不进入核心练习,ˈtoʊni,释义待核实，不计入核心练习,
3167,neighborhood,P3,W21–W30,释义待核实，不进入核心练习,ˈneɪbɚˌhʊd,释义待核实，不计入核心练习,
3168,nevada,P3,W21–W30,释义待核实，不进入核心练习,nəˈvɑdə,释义待核实，不计入核心练习,
3169,kits,P3,W21–W30,释义待核实，不进入核心练习,ˈkɪts,释义待核实，不计入核心练习,
3170,thailand,P3,W21–W30,释义待核实，不进入核心练习,ˈtaɪˌlænd,释义待核实，不计入核心练习,
3171,variables,P3,W21–W30,释义待核实，不进入核心练习,ˈvɛriəbəlz,释义待核实，不计入核心练习,
3172,agenda,P3,W21–W30,,əˈdʒɛndə,n. 待议事项，议事日程；（政治）议题；秘密计划，秘密目标,His agenda is discordant with ours.　他的日程与我们的有冲突。
3173,anyway,P3,W21–W30,,ˈɛniˌweɪ,adv. 不管怎样，无论如何；而且，加之；尽管，即使这样；对了，好吧（用于转换话题或回到前一个话题）；（用于表明某事不重要）反正；至少；总之；（表示有意结束谈话）那么；究竟，到底；噢，啊（用于结束谈话或离开）,"It's too late now, anyway.　反正现在已经太迟了。"
3174,continues,P3,W21–W30,释义待核实，不进入核心练习,kənˈtɪnjuz,释义待核实，不计入核心练习,
3175,tracks,P3,W21–W30,释义待核实，不进入核心练习,ˈtræks,释义待核实，不计入核心练习,
3176,advisory,P3,W21–W30,释义待核实，不进入核心练习,ædˈvaɪzɚi,释义待核实，不计入核心练习,
3177,cam,P3,W21–W30,释义待核实，不进入核心练习,ˈkæm,释义待核实，不计入核心练习,
3178,curriculum,P3,W21–W30,,kɚˈɪkjələm,n. 课程,The curriculum needs breadth and balance.　课程设置应该内容广泛而且均衡。
3179,logic,P3,W21–W30,,ˈlɑdʒɪk,n. 逻辑，（做某事的）道理；推理方法，逻辑学；（事实或事件的）规律，相互联系；（计算机或电器的）逻辑操作,I had to concede the logic of this.　我得承认这件事情有它的逻辑。
3180,template,P3,W21–W30,释义待核实，不进入核心练习,ˈtɛmplət,释义待核实，不计入核心练习,
3181,prince,P3,W21–W30,,ˈprɪns,n. 王子，王孙；（小国的）国君，亲王；佼佼者，名家； （某些欧洲国家的）贵族；【名】 （Prince）（英、葡）普林斯，（法）普兰斯（人名）,The prince should be plunged into work.　应该赶紧让王子投入工作。
3182,circle,P3,W21–W30,,ˈsɝkəl,n. 圆，圆形物；圈子，阶层；弧形楼座；黑眼圈；循环，周期；v. 盘旋，环行；围绕，圈起,The children stood in a circle.　孩子们站成一圈。
3183,soil,P3,W21–W30,,ˈsɔɪl,n. 泥土，土壤；（可供某物发展的）土壤，温床；国土，领土；<文>耕作，务农（the soil）；粪便；v. 弄脏，玷污,Farmers grow rice in the rich soil.　农民们在肥沃的土地上种水稻。
3184,grants,P3,W21–W30,释义待核实，不进入核心练习,ˈɡrænts,释义待核实，不计入核心练习,
3185,anywhere,P3,W21–W30,,ˈɛniˌwɛr,adv. 在任何地方；无论何处；n. 任何地方,Did you go anywhere interesting?　你去过任何有趣的地方吗？
3186,psychology,P3,W21–W30,,saɪˈkɑlədʒi,心理学；n. 心理学；心理特点，心理状态；心理影响；心计，善解人意,He studied philosophy and psychology at Yale.　他在耶鲁大学学习哲学和心理学。
3187,responses,P3,W21–W30,释义待核实，不进入核心练习,rɪˈspɑnsɪz,释义待核实，不计入核心练习,
3188,atlantic,P3,W21–W30,,ətˈlæntɪk,"adj. 大西洋的, 巨人阿特拉斯 的；n. 大西洋；（地质）大西洋气候期；adj. 大西洋的；（地质）大西洋气候期的",She wanted to fly solo across the Atlantic.　她想独自一人驾机飞越大西洋。
3189,wet,P3,W21–W30,,ˈwɛt,adj. 湿的，潮湿的；（天气）下雨的，多雨的；（油漆、墨水等）未干的；（婴幼儿或尿片）尿湿的；软弱的，优柔寡断的；<非正式>允许售酒的，不禁酒的；（尤指被右翼保守派认为）具有自由主义倾向的保守派的；（人） 嗜好酒的；用水（或其他液体）的；（鱼）新鲜的；（轮船）易（从船首或舷侧）进水的；n. 雨，雨天（the wet）；<英>保守党温和派成员；湿气，水分，液体；<英>软弱的人，窝囊废（含贬义）；<英，非正式>酒；<美>反禁酒者；v. 把（某物）弄湿；（尤指婴儿或小孩子）把……尿湿；（倒入滚烫的开水）沏（茶）；变湿,We arrived home soaking wet.　我们回到家时，浑身湿淋淋的。
3190,circumstances,P3,W21–W30,释义待核实，不进入核心练习,ˈsɝkəmˌstænsəz,释义待核实，不计入核心练习,
3191,edward,P3,W21–W30,释义待核实，不进入核心练习,ˈɛdwɚd,释义待核实，不计入核心练习,
3192,investor,P3,W21–W30,,ˌɪnˈvɛstɚ,n. 投资者，投资机构,My nephew is a cautious investor.　我侄子是个小心谨慎的投资者。
3193,identification,P3,W21–W30,,aɪˌdɛntəfəˈkeɪʃən,n. 辨认，识别；确认，确定；身份证明；认同，强烈的同情感；密切关联,"Can I see some identification, please?　请出示任何身份证件好吗？"
3194,ram,P3,W21–W30,释义待核实，不进入核心练习,ˈræm,释义待核实，不计入核心练习,
3195,leaving,P3,W21–W30,释义待核实，不进入核心练习,ˈlivɪŋ,释义待核实，不计入核心练习,
3196,wildlife,P3,W21–W30,,ˈwaɪldˌlaɪf,n. 野生动植物；adj. 野生动植物的,The area is rich in wildlife.　这个地区的野生动植物很多。
3197,appliances,P3,W21–W30,释义待核实，不进入核心练习,əˈplaɪənsəz,释义待核实，不计入核心练习,
3198,matt,P3,W21–W30,释义待核实，不进入核心练习,ˈmæt,释义待核实，不计入核心练习,
3199,elementary,P3,W21–W30,,ˌɛləˈmɛntri,adj. 简单的，基本的；基础的，初级的；小学的；单一元素的，非化合物的,Literacy now includes elementary computer skills.　有文化现在包括基本的计算机技能。
3200,cooking,P3,W21–W30,,ˈkʊkɪŋ,n. 烹饪，烹调；饭菜；adj. 适合烹饪的，烹饪用的；v. 煮，烧；烹饪，烹调；<非正式>发生，计划中（cook 的现在分词形式）,She praised his cooking.　她称赞他的烹调技术。
3201,speaking,P3,W21–W30,释义待核实，不进入核心练习,ˈspikɪŋ,释义待核实，不计入核心练习,
3202,sponsors,P3,W21–W30,释义待核实，不进入核心练习,ˈspɑnsɚz,释义待核实，不计入核心练习,
3203,fox,P3,W21–W30,,ˈfɑks,n. 狐狸；狐裘；狡猾的人；<非正式> 妖精，性感的人；福克斯族，福克斯族语；<非正式>妖精，性感的人；v. 欺骗，耍弄；把……难住，使……猜不透；【名】 （Fox） （英、美、德、丹、爱）福克斯（人名）,He was as cunning as a fox.　他像狐狸一样狡猾。
3204,unlimited,P3,W21–W30,释义待核实，不进入核心练习,ənˈlɪmətɪd,释义待核实，不计入核心练习,
3205,respond,P3,W21–W30,,rɪˈspɑnd,v. （口头或书面）回答，回应；作出反应，回应；（对某种治疗）有良好反应；（桥牌）（对同伴的叫牌）作应叫；（会众对牧师）应答，唱和；承担责任；n. （教堂用语）应答，唱和；（建筑）壁联（与墙相连支承拱的半柱或半墩，尤指在拱廊两端）,"I asked him his name, but he didn't respond.　我问他叫什么名字，可他没回答。"
3206,sizes,P3,W21–W30,释义待核实，不进入核心练习,ˈsaɪzəz,释义待核实，不计入核心练习,
3207,plain,P3,W21–W30,,ˈpleɪn,adj. 无装饰的，朴素的；单色的，无花纹的；单纯的，不掺杂的；显而易见的；（书面或口头用法）表达清楚的；直截了当的，坦率的；相貌平平的；普通的；直呼其名的；完全的；（编织）平针的；adv. 完全地，简直；明白地，不含糊地；n. （大）平原；（编织的）平针；朴实无华的东西,The walls were plain and unadorned.　墙壁朴素无华。
3208,exit,P3,W21–W30,,ˈɛɡzɪt,n. 出口，通道，太平门；（车辆驶出公路的）出路；离去；退出；<文>去世，死亡；v. 退出（电脑程序）；退场（剧本里的舞台指示）；<文>去世，死亡；摊牌让分；离去,There was a stampede for the exit.　出现了人群向出口的狂奔。
3209,entered,P3,W21–W30,释义待核实，不进入核心练习,ˈɛntɚd,释义待核实，不计入核心练习,
3210,iran,P3,W21–W30,释义待核实，不进入核心练习,ˌɪˈrɑn,释义待核实，不计入核心练习,
3211,arm,P3,W21–W30,,ˈɑrm,n. 手臂，上肢；武器，军备；扶手；袖子；职能部门；臂（状部件）；盾徽，纹章；狭长港湾；臂力；v. 武装，备战；提供，配备；使（炸弹等）随时爆炸，准备发射,Liz yanked at my arm.　利兹猛地拉了一下我的胳膊。
3212,keys,P3,W21–W30,释义待核实，不进入核心练习,ˈkiz,释义待核实，不计入核心练习,
3213,launch,P3,W21–W30,,ˈlɔntʃ,v. 发动，发起；上市，发行；使（船或舰）下水；发射（武器或宇宙飞船）；启动（计算机程序）；投出，用力扔出；使投身于（事业等）；起飞，出海；n. （航天器的）发射；（产品的）上市；（事件的）发起；汽艇，游艇；（新产品，出版物）发布会，推介会,The official launch date is in May.　正式的发行日期是在五月。
3214,wave,P3,W21–W30,,ˈweɪv,v. 挥手；挥手示意；挥舞，挥动；飘扬，摆动，摇晃；使（头发）略呈波形；（威胁地）举起（某物）；n. 海浪；大海（the waves）；（活动、行为的）爆发，浪潮；涌现的人（或物）；挥手；波，波状运动；（头发的）卷曲；波浪形；（地震、爆炸的）冲击波；人浪（the wave）,A wave of fear swept over him.　一阵恐惧传遍他的全身。
3215,checking,P3,W21–W30,释义待核实，不进入核心练习,ˈtʃɛkɪŋ,释义待核实，不计入核心练习,
3216,costa,P3,W21–W30,释义待核实，不进入核心练习,ˈkɔstɑ,释义待核实，不计入核心练习,
3217,belgium,P3,W21–W30,释义待核实，不进入核心练习,ˈbɛldʒəm,释义待核实，不计入核心练习,
3218,printable,P3,W21–W30,释义待核实，不进入核心练习,ˈprɪntəbəl,释义待核实，不计入核心练习,
3219,holy,P3,W21–W30,,ˈhoʊli,adj. 神圣的；圣洁的；<非正式>（表示惊讶、恐慌等）天啊，上帝啊；<非正式>用于强调；n. 神圣的东西，圣所；【名】 （Holy）（英、德、匈）霍利（人名）,He took holy orders in 1935.　他于1935年担任圣职。
3220,acts,P3,W21–W30,释义待核实，不进入核心练习,ˈækts,释义待核实，不计入核心练习,
3221,guidance,P3,W21–W30,,ˈɡaɪdəns,n. 指导，指引；（火箭等的）制导,Adam sought guidance from the Almighty.　亚当向上帝寻求指导。
3222,mesh,P3,W21–W30,释义待核实，不进入核心练习,ˈmɛʃ,释义待核实，不计入核心练习,
3223,trail,P3,W21–W30,,ˈtreɪl,n. 痕迹，踪迹；（人或动物的）足迹，嗅迹；（乡间的）小路，小径；（特定）路线，路径；一系列（坏事或有害事件）；（尤指细长）一缕，一串；<美>滑雪坡，滑雪道，越野滑雪路线；电影或广播的预告片；（炮架的）架尾；v. 拖，拉；没精打采地走，拖沓地走；（在竞赛或选举中）落后，输；跟踪，追踪；蔓生，蔓延，被搁置；垂下；慢慢移动，缓缓流动；（声音，喇叭）渐弱；事先宣传，预告（影片，节目等）；喷注（泥釉）；【名】 （Trail）（美）特雷尔（人名）,The police were hot on his trail.　警方正紧紧跟踪他。
3224,enforcement,P3,W21–W30,,ɛnˈfɔrsmənt,n. 执行，实施,The doctors want stricter enforcement of existing laws.　医生们希望现行法律的执行能更严格。
3225,symbol,P3,W21–W30,,ˈsɪmbəl,n. 象征，标志；符号；代表性的人（物）,What's the chemical symbol for mercury?　水银的化学符号是什么？
3226,crafts,P3,W21–W30,释义待核实，不进入核心练习,ˈkræfts,释义待核实，不计入核心练习,
3227,highway,P3,W21–W30,,ˈhaɪˌweɪ,n. <美>公路，干道；公用通道,Anita drove north up Pacific Highway.　安尼塔开车沿着太平洋公路向北行驶。
3228,buddy,P3,W21–W30,,ˈbʌdi,n. <非正式>朋友；<美，非正式>老兄，兄弟；伙伴，搭档；v. 与……成为朋友，与……结交；adj. 讲述友情的,"Buddy, hot down here.　伙计，这里很热。"
3229,hardcover,P3,W21–W30,释义待核实，不进入核心练习,ˈhɑrdˌkʌvɚ,释义待核实，不计入核心练习,
3230,observed,P3,W21–W30,释义待核实，不进入核心练习,əbˈzɝvd,释义待核实，不计入核心练习,
3231,dean,P3,W21–W30,,ˈdin,n. 院长，教务长；主任牧师,I have tremendous respect for Dean.　我非常敬重迪安。
3232,setup,P3,W21–W30,释义待核实，不进入核心练习,ˈsɛˌtʌp,释义待核实，不计入核心练习,
3233,poll,P3,W21–W30,,ˈpoʊl,n. 民意调查，民意测验；选举投票，计票；投票数；投票点（the polls）；头顶，头皮；无角动物（尤指无角牛）；v. 对……进行民意测验（调查）；获得（票数）；（电信，计算机）轮询，探询；截掉（动物，尤指小牛）的角；<古>修枝；【名】 【名】（Poll）（德、匈、罗、英）波尔（人名）,The final result of the poll will be known tomorrow.　投票结果将于明天公布。
3234,booking,P3,W21–W30,,ˈbʊkɪŋ,n. 预订；预约；演出契约,The booking is only provisional.　这只是暂定的预订。
3235,glossary,P3,W21–W30,,ˈɡlɔsɚi,n. 词汇表，术语表；专门词典,A glossary of terms is included for the reader's convenience.　为了方便读者，还收录了术语汇编。
3236,fiscal,P3,W21–W30,,ˈfɪskəl,adj. （政府）财政的；<美>财政年度的；<美>金融的；n. <旧>（某些国家的）检察官，财政官员；领伯劳；【名】 （Fiscal）（法）菲斯卡尔（人名）,The government brought itself to the brink of fiscal disaster.　该政府把自己带到了财政灾难的边缘。
3237,celebrity,P3,W21–W30,,səˈlɛbrɪti,n. 名声，名望；名人，明星,She achieved celebrity status overnight.　她一夜之间成为名流。
3238,styles,P3,W21–W30,释义待核实，不进入核心练习,ˈstaɪlz,释义待核实，不计入核心练习,
3239,denver,P3,W21–W30,释义待核实，不进入核心练习,ˈdɛnvɚ,释义待核实，不计入核心练习,
3240,unix,P3,W21–W30,释义待核实，不进入核心练习,ˈjunɪks,释义待核实，不计入核心练习,
3241,filled,P3,W21–W30,释义待核实，不进入核心练习,ˈfɪld,释义待核实，不计入核心练习,
3242,bond,P3,W21–W30,,ˈbɑnd,n. 纽带，联系；公债，债券；结合，黏合；承诺，契约；枷锁，桎梏；v. （使）建立亲密关系；与……黏合（或连接）；【名】 （Bond）（英、德、西、瑞典）邦德（人名）,She works for Bond & Green.　她在邦德—格林公司工作。
3243,channels,P3,W21–W30,释义待核实，不进入核心练习,ˈtʃænəlz,释义待核实，不计入核心练习,
3244,ericsson,P3,W21–W30,释义待核实，不进入核心练习,ˈɛrɪksən,释义待核实，不计入核心练习,
3245,appendix,P3,W21–W30,,əˈpɛndɪks,n. 阑尾；附录,Full details are given in Appendix 3.　详情见附录3。
3246,notify,P3,W21–W30,,ˈnoʊtəˌfaɪ,v. 通报，告知；申报,Please notify us if the above is not correct.　如果上面所说的不正确，请通知我们。
3247,blues,P3,W21–W30,,ˈbluz,布鲁斯音乐， 蓝调；n. 忧郁布鲁斯歌曲；蓝色物（blue 的复数）；v. 把……染成蓝色（blue 的第三人称单数）,Can white girls sing the blues?　白人女孩会唱蓝调吗？
3248,chocolate,P3,W21–W30,,ˈtʃɔklət,n. 巧克力，朱古力；巧克力糖，夹心巧克力糖；巧克力饮料，一杯巧克力饮料；深褐色，巧克力色；adj. 巧克力的，巧克力味的；【名】 （Chocolate）（葡）绍科拉特（人名）,He broke the chocolate in two.　他把那块巧克力一分为二。
3249,pub,P3,W21–W30,,ˈpʌb,n. 酒吧，酒馆；酒店，旅馆；路人局（游戏术语）；abbr. 公众的；公开的（public 的缩写）；出版，发行；出版物，发行物；（信息的） 刊登，公布 （publication 的缩写）；（媒体的）关注，报道；宣传业，广告行业；引起公众关注的事物（publicity的缩写）；宣传， 推广；v. <非正式>时常出入于酒吧，泡酒吧,They serve good pub grub there.　他们那儿供应上好的酒吧食物。
3250,portion,P3,W21–W30,,ˈpɔrʃən,n. （某物的）一部分；（尤指餐馆中食物的）一份，一客；（责任、过失、职责等的）一份，一部分；<法律>（根据法律赠与或遗留给继承人的）一份财产；<古> 命运，天数；v. 分配；<古> 给（新娘）嫁妆,A supersize portion of fries contains 600 calories.　一个超大份炸薯条含600卡路里。
3251,scope,P3,W21–W30,,ˈskoʊp,n. 范围，领域；（发挥能力的）机会，施展余地；视野，眼界；观测仪器（如望远镜、显微镜等）；（船抛锚时的）缆绳长度；特定论点的数量；v. 评估，调查（scope sth. out）；确定（规划项目）的范围；<非正式>仔细看，彻底检查,There's still plenty of scope for improvement.　还有很大的改进余地。
3252,hampshire,P3,W21–W30,释义待核实，不进入核心练习,ˈhæmpʃɚ,释义待核实，不计入核心练习,
3253,supplier,P3,W21–W30,,səˈplaɪɚ,n. 供应商，供应者,The equipment can be purchased from your local supplier.　这种设备可从您当地的供应商购买。
3254,cables,P3,W21–W30,释义待核实，不进入核心练习,ˈkeɪbəlz,释义待核实，不计入核心练习,
3255,cotton,P3,W21–W30,,ˈkɑtən,n. 棉，棉花；棉布；棉线，棉纱；脱脂棉，药棉；adj. 棉的，棉制的；v. <非正式>开始领会，开始明白；<美，非正式>喜爱，喜欢,The sheets are 100% pure cotton.　这些被单是100%的纯棉。
3256,bluetooth,P3,W21–W30,,ˈbluˌtuθ,n. 蓝牙【搭配】bluetooth telephone 蓝牙电话；n. 蓝牙技术（一种无线通信的标准）,The bike that the service company provides has GPS or Bluetooth on it.　该服务公司提供的自行车上有 GPS 或蓝牙。
3257,controlled,P3,W21–W30,,kənˈtroʊld,adj. 限制的，控制的；受法律制约的，受规则限制的；保持冷静的，克制的；v. 控制，掌管；限制，限定；阻止蔓延（或恶化）（control 的过去式和过去分词形式）,She remained quiet and controlled.　她沉默不语保持克制。
3258,requirement,P3,W21–W30,,rɪˈkwaɪrmənt,n. 要求，必要条件；需要（要求）的事物,Could you tell me the requirement for my term paper?　你能告诉我写学期论文的要求吗？
3259,authorities,P3,W21–W30,释义待核实，不进入核心练习,əˈθɔrətiz,释义待核实，不计入核心练习,
3260,biology,P3,W21–W30,,baɪˈɑlədʒi,n. 生物学；生命机理，作用方式；生理习性；（某个地区的）生物,Biology is my favourite subject.　生物是我最喜欢的学科。
3261,dental,P3,W21–W30,,ˈdɛntəl,adj. 牙齿的，牙科的；齿音的；n. 齿音,I've got a dental appointment at 3 o'clock.　我约了3点看牙医。
3262,killed,P3,W21–W30,释义待核实，不进入核心练习,ˈkɪld,释义待核实，不计入核心练习,
3263,border,P3,W21–W30,,ˈbɔrdɚ,n. 国境，边界；镶边，包边；狭长花坛，花带；v. 接壤，毗邻；环绕，沿……的边缘；近似，相像；【名】 （Border）（英）博德（人名）,They fled across the border.　他们越过边界逃走了。
3264,ancient,P3,W21–W30,,ˈeɪntʃənt,adj. 古代的，远古的；古老的，年代久远的；老的，老掉牙的；n. （尤指埃及、希腊和罗马的）古代人；<古>老头,Lettuce was grown by the ancient Romans.　莴苣是由古罗马人种植的。
3265,debate,P3,W21–W30,,dəˈbeɪt,n. 讨论，辩论；v. 反复思考，斟酌；讨论，辩论,The debate simply revived old hatreds.　这一辩论只不过再次挑起了夙仇。
3266,representatives,P3,W21–W30,释义待核实，不进入核心练习,ˌrɛprəˈzɛntətɪvz,释义待核实，不计入核心练习,
3267,starts,P3,W21–W30,释义待核实，不进入核心练习,ˈstɑrts,释义待核实，不计入核心练习,
3268,pregnancy,P3,W21–W30,,ˈprɛɡnənsi,n. 怀孕（期），妊娠（期）,These methods prevent pregnancy.　这些方法预防怀孕。
3269,causes,P3,W21–W30,释义待核实，不进入核心练习,ˈkɑzəz,释义待核实，不计入核心练习,
3270,arkansas,P3,W21–W30,释义待核实，不进入核心练习,ˈɑrkənˌsɑ,释义待核实，不计入核心练习,
3271,biography,P3,W21–W30,,baɪˈɑɡrəfi,n. 传记，传记文学；生平,This book is a well balanced biography.　这是一本很公正的传记。
